	visioen/noun	modder/noun	getal/noun	veeleer/adv	haast/adv	vrijheid/noun	gezang/noun	orgasme/noun	stem/noun	lof_trompet/noun	bed/noun	herrie/noun	vorst/noun	optreden/noun	pad/noun	ijl/adj	maar/adv	gewaad/noun	koor/noun	plek/noun	tribunaal/noun	kunst/noun	passage/noun	tegelijk/adj	monument/noun	mandaat/noun	harmonie/noun	naam/noun	stad/noun	uitzicht/noun	piano_spel/noun	zangeres/noun	zij/pron	zo/adv	gave/noun	vrede/noun	meest/adj	moment/noun	sopraan/noun	haven/noun	gewelf/noun	heerlijkheid/noun	melodie/noun	zaak/noun	klink/adj	werkster/noun	sereniteit/noun	ding/noun	symbool/noun	vaderland/noun	boodschap/noun	paradijs/noun	minstens/adv	nul/noun	tip/noun	tafereel/noun	schoonheid/noun	refrein/noun	glimlach/noun	iets/noun	afgezant/noun	blauw/noun	landschap/noun	klank/noun	drank/noun	dressing/noun	dauw/noun	het/det	rust/noun	stil/adj	tuin/noun	kleur/noun	gerecht/noun	hulp/noun	helderheid/noun	koning/noun	geluid/noun	sauna/noun	paradijselijk/adj	vader/noun	tweeling/noun	compliment/noun	perfectie/noun	republiek/noun	licht/noun	gevoel/noun	plezier/noun	missie/noun	voetbal_tempel/noun	staat/noun	rijk/noun	belofte/noun	status/noun	ervaring/noun	menu/noun	gestreken/adj	sfeer/noun	interventie/noun	naar/adj	geschenk/noun	aureool/noun	vuur/noun	vaak/adj	maal/noun	droefheid/noun	ruimte/noun	lichaam/noun	zaligheid/noun	euforie/noun	patent/noun	kroon/noun	iets/adv	geluk/noun	muziek/noun	koor_DIM/noun	komedie/noun	aardappel/noun	bijstand/noun	of/vg
visioen/noun	0.0	0.87509084	0.7096527	0.77542186	0.5210427	0.65691024	0.63920766	0.95273113	0.7972467	0.9061212	0.96929324	0.8124096	0.9643656	0.91864187	0.93229556	0.76040447	0.944149	0.7916648	0.7128948	0.53716624	0.98223174	0.6501467	0.8424909	0.42578447	0.84483385	0.9260013	0.80566746	0.954253	0.71353567	0.64157236	0.9559279	0.82126	0.809865	0.83087534	0.56736994	0.7759755	0.75962734	0.87691545	0.75130594	0.8028015	0.8838639	0.88768536	0.7848046	0.979078	0.81231856	0.83763164	0.8097881	0.7989619	0.74913734	0.8559754	0.7615932	0.4013977	0.9107822	0.8479653	0.97269374	0.2606235	0.56938255	0.96299845	0.8242558	0.75764424	0.79799753	0.89502543	0.52164525	0.6553358	0.74214613	0.9686328	0.8931179	0.67840767	0.7201627	0.6790724	0.5130652	0.8281379	0.94822943	0.9140784	0.8624543	0.9437682	0.7518818	0.8955345	0.41135317	0.86978996	0.78228664	0.9903341	0.8128809	0.96630096	0.7824131	0.8059086	0.8548924	0.9384737	0.92029643	0.7175317	0.71533275	0.5346675	0.8500435	0.7929635	0.9457871	0.8530871	0.6463506	0.71106005	0.8159248	0.7372464	0.8168083	0.8794411	0.84182125	0.85463583	0.87401503	0.8393407	0.7440955	0.8887404	0.9466139	0.9033502	0.88573474	0.8283553	0.7050189	0.7340521	0.95427865	0.6834025	0.95388705	0.9614273	0.83125293
modder/noun	0.87509084	0.0	0.94444823	0.87940687	0.85908425	0.9492064	0.65312636	0.95937806	0.8675703	1.0	0.9392204	0.52424586	0.7685672	0.99857193	0.5990376	0.7187942	0.88914555	0.6921245	0.78498137	0.9086315	1.0	0.9465285	0.91859764	0.832467	0.98166746	0.9684132	0.88461906	0.94303524	0.9748623	0.9146858	0.86692107	0.814459	0.9547102	0.98391783	0.95418245	0.8440983	0.94735044	0.9787455	0.856549	0.9825131	0.9700309	0.9921724	0.7838309	1.0	0.8905851	0.93118626	0.8263809	0.8972419	0.8925961	0.83555675	0.95665556	0.9837995	0.9696224	0.9508394	0.98358476	0.83753973	0.87466836	0.97658324	0.87414324	0.9500471	1.0	0.7095832	0.8929242	0.74565053	0.6658376	0.9083827	0.7988049	0.84398746	0.9071871	0.86301476	0.8337386	0.7428082	0.9450271	0.98062575	0.89658827	0.91446114	0.7366108	0.96559626	0.91140586	0.96723735	0.9987194	0.9596494	0.93264425	0.9155392	0.80407846	0.9499265	0.8589851	0.9420612	0.95653677	0.944028	0.86730635	0.86656	0.9196363	0.9578558	0.9124795	0.8881409	0.8398138	0.9919404	0.85090744	0.8191496	0.9668487	0.82040703	0.8082691	0.88259417	0.96613884	0.9382912	0.729976	0.9902725	0.9971339	0.99566793	0.9976002	0.9172237	0.97934145	0.7594402	0.9626845	0.9569577	0.806479	0.96360236	0.65371287
getal/noun	0.7096527	0.94444823	0.0	0.7895352	0.72374094	0.77679664	0.77934736	0.970782	0.82890594	0.999834	0.90106183	0.9455499	0.8702817	0.91231066	0.97819656	0.89000416	0.79566175	0.85954833	0.8168403	0.9205873	0.96882015	0.8682507	0.8851381	0.7658225	0.900812	0.9850646	0.7631812	0.71472967	0.90750265	0.9611621	0.86230844	0.9095248	0.9430395	0.80217695	0.81551886	0.8221252	0.8365771	0.9416279	0.87290883	0.90040565	0.9525944	0.9946624	0.78460926	0.9977035	0.718791	0.9451391	0.90014946	0.8500347	0.6603347	0.8888264	0.8799964	0.77393687	0.848506	0.2605967	0.97270113	0.7308297	0.779501	0.8737012	0.9413472	0.75210196	1.0	0.7739744	0.82433903	0.8922771	0.9060104	0.95524544	0.99602884	0.80621225	0.87369895	0.8577622	0.9079918	0.7967286	0.9006419	0.9928255	0.8699781	0.96647406	0.8622135	0.9428675	0.8001604	0.95081735	0.97358024	0.91487473	0.7873491	0.85986155	0.86422855	0.779359	0.96220267	0.9364429	0.9713369	0.90650815	0.9142029	0.9101091	0.8593104	0.8662774	0.9237964	0.995502	0.83064884	0.80072176	0.6876037	0.93102837	0.832967	0.9338743	0.75579613	0.5863542	0.9385009	0.9192692	0.83384645	0.99313694	0.94032633	0.9271965	0.9667154	0.7525798	0.86178267	0.8333212	0.83743423	0.8154299	0.9628976	0.9731716	0.85347354
veeleer/adv	0.77542186	0.87940687	0.7895352	0.0	0.6183933	0.75128984	0.70956504	0.9391605	0.73547375	0.9682185	0.8631103	0.8711949	0.73799753	0.82446617	0.87593055	0.6727557	0.82199633	0.8273262	0.74466854	0.7703992	0.97668546	0.73646665	0.83612967	0.5779822	0.76887566	0.9337586	0.60983074	0.80485415	0.78367853	0.7689661	0.7924073	0.7755668	0.7117592	0.8135768	0.514567	0.8266517	0.686398	0.7501737	0.7425773	0.9252272	0.89693314	0.8823857	0.6054659	0.9829336	0.77075267	0.64106584	0.6828288	0.7802799	0.6629832	0.7758235	0.8887795	0.8203536	0.9186982	0.86040795	0.88896894	0.77999824	0.497998	0.8412464	0.8098558	0.6542014	0.9815179	0.8067649	0.7557633	0.749972	0.8548169	0.9544605	0.9253953	0.79771173	0.8452092	0.59138286	0.7846595	0.63529766	0.9240294	0.8674692	0.73448396	0.6754875	0.7246084	0.75779533	0.7725314	0.93605894	0.9002741	0.77037096	0.61734974	0.78548527	0.77302444	0.597576	0.68012524	0.93772334	0.86487144	0.81547135	0.7793547	0.8841813	0.82867795	0.88886297	0.82469237	0.71396554	0.65828747	0.8563213	0.66206014	0.64867723	0.8024456	0.95045614	0.62455225	0.97329354	0.61500776	0.71261203	0.7785213	0.9191933	0.68453205	0.9100111	0.8539279	0.794295	0.68534595	0.60198253	0.8315969	0.7133457	0.9352945	0.9568058	0.60878754
haast/adv	0.5210427	0.85908425	0.72374094	0.6183933	0.0	0.75283617	0.46575654	0.9369329	0.56182826	0.9761955	0.9294274	0.6752858	0.89251906	0.8371711	0.9699204	0.45389593	0.8451309	0.7379848	0.54599464	0.67510545	0.9323015	0.64854044	0.602381	0.5503399	0.676623	0.96974134	0.48307627	0.76752913	0.7908285	0.7043413	0.6055846	0.6174689	0.8318573	0.7440864	0.6107538	0.7106705	0.7050898	0.8275063	0.5332365	0.92799044	0.8267872	0.81989175	0.4849016	0.97401494	0.6103505	0.87343395	0.7163219	0.8673313	0.65874183	0.90542275	0.79466534	0.7532973	0.78742355	0.8930942	0.81939924	0.44750208	0.32161522	0.6558597	0.78355616	0.6854215	0.9874459	0.7512973	0.5174608	0.39386755	0.6523392	0.77067316	0.9172297	0.6727285	0.77729094	0.63549906	0.6907758	0.552251	0.79475427	0.9587345	0.47781122	0.92269987	0.43856263	0.874057	0.52398217	0.94907117	0.7115967	0.89646024	0.5000087	0.87395316	0.51320255	0.64277554	0.8212731	0.9451746	0.94735605	0.7746966	0.8259444	0.6753789	0.7680601	0.8479741	0.91580325	0.71445525	0.49219215	0.8360005	0.63872397	0.8260277	0.7752569	0.8169396	0.68434143	0.7780316	0.8252264	0.5871731	0.5516364	0.7678523	0.8960602	0.8729856	0.74099	0.5662254	0.73904467	0.4842047	0.7893418	0.7490393	0.815112	0.9910942	0.71493065
vrijheid/noun	0.65691024	0.9492064	0.77679664	0.75128984	0.75283617	0.0	0.8447803	0.9341177	0.8920171	0.583936	0.96986264	0.95779073	0.7569094	0.8857496	0.90463805	0.79091495	0.8738641	0.9325972	0.86582124	0.8261969	0.9196017	0.62687707	0.92672235	0.6215801	0.86641276	0.9137677	0.6530099	0.90283114	0.7404699	0.8114795	0.9330585	0.9356354	0.72405046	0.9161741	0.71579903	0.42375463	0.877139	0.82383627	0.94044805	0.93775684	0.8464365	0.71462727	0.79162663	0.96766543	0.9176555	0.893828	0.70477164	0.76918066	0.43119287	0.6803136	0.7009505	0.6853825	0.9496792	0.9920079	0.96098113	0.77465785	0.55770564	0.8873423	0.8077512	0.7379811	0.9681829	0.91934896	0.72626317	0.7629545	0.90657943	0.9670841	0.9882572	0.7670236	0.63786566	0.8553935	0.70684505	0.77560294	0.90023935	0.9295905	0.75830585	0.83781266	0.8705768	0.8746872	0.6996918	0.79456514	0.88819724	0.93008435	0.65431833	0.64188	0.76195437	0.61398554	0.7952653	0.81374943	0.96204066	0.5477929	0.68636155	0.68158954	0.6412177	0.7888446	0.93506247	0.95080715	0.7007241	0.8716174	0.8384834	0.79222596	0.87205064	0.93795323	0.83057487	0.98226774	0.81623113	0.7028352	0.8105118	0.7016909	0.830963	0.8798847	0.9203683	0.8482295	0.4504283	0.75854516	0.9990233	0.898115	0.98255	0.9419048	0.88401246
gezang/noun	0.63920766	0.65312636	0.77934736	0.70956504	0.46575654	0.8447803	0.0	0.94653136	0.39007682	0.97213846	0.9381647	0.40544903	0.8978122	0.703756	0.8710362	0.4062723	0.81944644	0.5138731	0.31423342	0.8348814	0.9691917	0.7491553	0.60211945	0.6634892	0.9394458	0.9433756	0.4758035	0.7063587	0.94145054	0.82259774	0.58520997	0.4517297	0.8265291	0.7989595	0.6510435	0.7455448	0.7251488	0.8332219	0.32037163	0.9074528	0.90797323	0.92130834	0.48015374	0.82454795	0.5182104	0.8828876	0.67431724	0.79870546	0.8828406	0.9047514	0.7588787	0.81480885	0.9149534	0.9152916	0.9458973	0.6693778	0.5439172	0.619663	0.68366593	0.7684696	0.9952894	0.64981806	0.727196	0.43590397	0.5711046	0.9826766	0.99521786	0.7802762	0.6854249	0.5772178	0.8499831	0.62995565	0.8592738	0.9803467	0.5804255	0.93181777	0.38924193	0.7728376	0.71838266	0.88374275	0.9266012	0.91529393	0.64420736	0.9344004	0.6435042	0.68879116	0.6952562	0.94168836	0.937945	0.96311677	0.9573914	0.76202065	0.91382563	0.8590414	0.9111517	0.8318275	0.462996	0.81977904	0.71540487	0.7656145	0.7684229	0.79548234	0.67954004	0.6767546	0.8638543	0.6840861	0.64105105	0.7079479	0.7865228	0.94232666	0.9256253	0.83287704	0.78928196	0.29607564	0.6895303	0.84509933	0.90066457	0.97592396	0.7148974
orgasme/noun	0.95273113	0.95937806	0.970782	0.9391605	0.9369329	0.9341177	0.94653136	0.0	0.92547846	1.0	0.6536521	0.8897315	0.9794465	0.9912846	0.9723392	0.91823953	0.6691091	0.9660303	0.9875271	0.77870345	0.97554076	0.759059	0.96404207	0.90535724	0.96223235	0.9838305	0.93557924	0.9721522	0.941605	0.95147115	0.9653275	0.9846438	0.7717568	0.9159258	0.92398155	0.96279573	0.7798343	0.68324226	0.9681366	0.99623275	0.97924536	0.9820341	0.93616474	0.9993604	0.9483975	0.9180887	0.9362499	0.7944747	0.9406865	0.9893489	0.96113026	0.9436783	0.97536016	0.9627239	0.9912115	0.95383054	0.9072999	0.9344789	0.99393904	0.79396725	0.9717023	0.951851	0.9442374	0.9343707	0.95791286	0.9511164	0.85000694	0.804741	0.9598988	0.8928511	0.9432026	0.92958915	0.97559667	0.83288884	0.9321086	0.9966315	0.7387329	0.9248714	0.90699005	0.9401484	0.96857214	0.97573584	0.93421245	0.9582082	0.8968868	0.90323985	0.90909535	0.9996826	0.90519154	0.9795357	0.96873206	0.9824275	0.9820395	0.97257096	0.9626566	0.8775798	0.9622952	0.9674326	0.85187423	0.99059486	0.9201499	0.9409758	0.70408404	0.9930784	0.89816654	0.87370884	0.7800088	0.8914579	0.961063	0.9757403	0.9940881	0.63191843	0.61366963	0.8983501	0.97884154	0.94165397	0.95549244	0.8951541	0.66096187
stem/noun	0.7972467	0.8675703	0.82890594	0.73547375	0.56182826	0.8920171	0.39007682	0.92547846	0.0	1.0	0.9861625	0.66625094	0.9483973	0.542068	0.82353944	0.31924337	0.86292696	0.7269603	0.35241735	0.8922357	0.9478125	0.75928825	0.42149538	0.6978706	0.8144257	0.9087253	0.5642862	0.6023376	0.9529602	0.83372986	0.4450717	0.28401518	0.83907366	0.77505577	0.70298505	0.8269753	0.7103445	0.7128068	0.29913276	0.95581144	0.907043	0.97774595	0.23293269	0.93176186	0.35023522	0.9073198	0.8359061	0.87736475	0.89665425	0.86803013	0.81513584	0.912681	0.9536246	0.93937963	0.95141083	0.83900785	0.6252846	0.51501346	0.90204006	0.7714148	0.95335686	0.84683824	0.8285239	0.38298434	0.8001549	0.96441233	0.9896141	0.7419858	0.8790841	0.6974215	0.9306341	0.562196	0.8756695	0.9797243	0.6063434	0.9284948	0.41486627	0.93362343	0.80941	0.90355176	0.9423157	0.9686494	0.67233944	0.9172764	0.604601	0.7393145	0.60570955	0.8929315	0.9437612	0.9217894	0.9711355	0.761963	0.8583233	0.7942815	0.9600784	0.8210715	0.571826	0.76500404	0.8272176	0.8467484	0.83617884	0.8898881	0.550812	0.76038367	0.80743366	0.6256044	0.77456725	0.75371313	0.84651643	0.80633694	0.9260847	0.78387094	0.85776484	0.29483885	0.45869654	0.93012595	0.9634656	0.9859927	0.69104415
lof_trompet/noun	0.9061212	1.0	0.999834	0.9682185	0.9761955	0.583936	0.97213846	1.0	1.0	0.0	1.0	0.9999189	0.99995744	1.0	1.0	0.999845	0.99915206	1.0	0.99062914	0.9996251	1.0	0.85482234	1.0	0.9050542	0.9997076	1.0	0.89541674	1.0	0.9995675	0.9989611	1.0	1.0	0.76859677	0.9919006	0.8909208	0.69161975	0.9997663	1.0	1.0	0.9996042	0.99978197	0.82210815	0.9999578	0.9997017	0.99996156	1.0	1.0	0.8993197	0.66020924	0.7871142	0.95093775	0.95196605	0.9979381	0.99987185	1.0	0.9998194	0.9106925	0.99983597	1.0	1.0	1.0	0.9904104	0.99977386	0.9825548	1.0	1.0	0.9998397	0.9998821	0.97135913	0.99929553	1.0	1.0	1.0	1.0	0.93202746	1.0	0.99993825	1.0	0.88711995	1.0	1.0	1.0	0.999823	0.8907088	0.99997896	0.69611084	0.8468299	1.0	0.99952525	0.8550228	0.85838526	0.9614184	0.9417904	0.9998422	1.0	0.9996232	0.9355757	1.0	0.9998747	0.94757146	1.0	1.0	0.99833286	0.99912983	1.0	0.7336882	1.0	0.7946538	0.98284084	1.0	1.0	0.9942525	0.8093387	0.9903594	0.9997634	1.0	1.0	1.0	0.99995905
