	juridisch/adj	verblijf_status/noun	regel/noun	alleen/adj	algemeen/adj	biljet/noun	stem/noun	dit/det	rechtbank/noun	nog/adv	onbeperkt/adj	toelating/noun	vergunning/noun	adres/noun	werk_vergunning/noun	altijd/adv	aanbieding/noun	reservatie/noun	frank/noun	identiteitsbewijs/noun	handtekening/noun	document/noun	aanbesteding/noun	die/det	licentie/noun	reis_pas/noun	vonnis/noun	eind_uitslag/noun	exploitatie_vergunning/noun	typering/noun	argument/noun	slechts/adv	euro/noun	en/vg	door/adj	verzoek/noun	ticket/noun	huur_contract/noun	uitslag/noun	boord_document/noun	kaart/noun	gezien/adj	ze/pron	voorwaarde/noun	niet/adv	wijze/noun	rijbewijs/noun	abonnement/noun	wet/noun	arbeid_vergunning/noun	tarief/noun	bon/noun	strip_kaart/noun	jaar/noun	betaal_middel/noun	enkel/adj	universeel/adj	advies/noun	trein_kaart_DIM/noun	wagen/noun	wil_beschikking/noun	stem_biljet/noun	reden/noun	lid_kaart/noun	treffer/noun	papier/noun	excuus/noun	paspoort/noun	onverminderd/adj	vervoer_bewijs/noun	poging/noun	besluit/noun	kandidatuur/noun	verzekering/noun	alternatief/noun	bouw_aanvraag/noun	gewoon/adj	verblijfsvergunning/noun	huwelijk/noun	ten/adv	verklaring/noun	bekentenis/noun	principe/noun	accoord/noun	arrangement/noun	status/noun	offerte/noun	referendum/noun	alibi/noun	conventie/noun	dagvaarding/noun	enquête/noun	lang/adj	visum/noun	uitkomst/noun	rede/noun	Habibie/name	goedkeuring/noun	bod/noun	diploma/noun	gemeente/noun	wereldwijd/adj	doelpunt/noun	overeenkomst/noun	toestemming/noun	patent/noun	goal/noun
juridisch/adj	0.0	0.8384051	0.6858902	0.73587835	0.7258477	0.87467575	0.9150104	0.76230055	0.67132807	0.8343183	0.79890025	0.72362065	0.7336904	0.86541075	0.81431663	0.8532822	0.8753168	0.9281032	0.93013597	0.86043435	0.8426668	0.748685	0.73488265	0.6879169	0.78510094	0.8631496	0.67913157	0.9107699	0.83806	0.8876068	0.6559864	0.8466215	0.93064666	0.7829	0.87594163	0.6877079	0.90265065	0.81245536	0.8641286	0.9301287	0.903951	0.74028116	0.85968304	0.68816006	0.82220966	0.78495526	0.8811895	0.8592652	0.6392649	0.8470361	0.8259151	0.8951849	0.9120515	0.92002195	0.8758547	0.71399176	0.7283334	0.6684999	0.9142581	0.94509417	0.8449503	0.843457	0.7467109	0.9169381	0.91729987	0.8417222	0.83108705	0.84083223	0.79316574	0.89334506	0.80018973	0.6799109	0.7819456	0.7367483	0.79766566	0.7631511	0.89147556	0.76971865	0.81066674	0.7502097	0.76888674	0.7984149	0.7006728	0.7330137	0.8639741	0.7721026	0.8307395	0.72521555	0.80924106	0.7312511	0.7326002	0.8219421	0.8825033	0.80555534	0.72696185	0.77668	0.8041408	0.7151195	0.82485616	0.8700089	0.69961226	0.81355655	0.928696	0.7258434	0.75605035	0.76193935	0.9330483
verblijf_status/noun	0.8384051	0.0	0.884963	0.8473151	0.92462957	0.8927818	0.93478346	0.9243418	0.87291753	0.87187433	0.8553597	0.7596718	0.7110697	0.87863445	0.65223366	0.92277956	0.8922392	0.9602164	0.9395934	0.8034264	0.88053215	0.865662	0.8640063	0.8825542	0.77963847	0.8335928	0.8761206	0.90895545	0.82410556	0.94791085	0.90659946	0.8714305	0.9357347	0.92260796	0.9465738	0.8504502	0.88595897	0.84250104	0.89449465	0.91684717	0.90744245	0.93696684	0.8963614	0.8282225	0.88838637	0.89938277	0.8347614	0.8793527	0.8483813	0.74398077	0.8837476	0.9171994	0.9177875	0.9137108	0.91235733	0.8471061	0.91935235	0.891724	0.88913345	0.950061	0.9313308	0.89207315	0.89144415	0.9087463	0.9510751	0.860432	0.9204171	0.7862865	0.9215777	0.88775456	0.95625603	0.8794322	0.8998623	0.853133	0.9137503	0.8708172	0.92910284	0.48753124	0.9065055	0.8834037	0.913763	0.9141048	0.8728658	0.86101913	0.94523424	0.74241877	0.884564	0.87541974	0.90199006	0.91943914	0.90078646	0.9223801	0.91561794	0.7213946	0.90531063	0.88641036	0.927726	0.8558228	0.9191653	0.86749995	0.8258298	0.92816395	0.94094974	0.8808378	0.81840813	0.88527477	0.95164406
regel/noun	0.6858902	0.884963	0.0	0.7457354	0.74091023	0.8663034	0.89397764	0.8206477	0.84587336	0.8986252	0.81474596	0.7501707	0.6872908	0.8933707	0.839246	0.8401973	0.88427746	0.9420069	0.9514721	0.854527	0.87282646	0.78546125	0.72818583	0.7341691	0.83481777	0.8770552	0.7390191	0.9005024	0.82127446	0.8645665	0.7325688	0.8634094	0.93635005	0.79789555	0.8988902	0.7873591	0.93398947	0.7779503	0.88677126	0.9459781	0.9026624	0.8153356	0.8454194	0.5598265	0.7849409	0.735965	0.8691517	0.87073016	0.33926076	0.88686323	0.6947235	0.8813981	0.9027201	0.9253903	0.81838983	0.754931	0.72177124	0.7259413	0.91105783	0.9442817	0.8129281	0.8581329	0.8458238	0.92633533	0.9518221	0.8545644	0.85559916	0.86535203	0.8262309	0.8796965	0.88865066	0.72815394	0.86299866	0.7772692	0.8334386	0.82293355	0.8771077	0.8187573	0.86513495	0.83089066	0.7967273	0.8784816	0.530593	0.72239214	0.8298053	0.79397154	0.8097908	0.75996614	0.8701608	0.5722846	0.8505765	0.8608767	0.91306466	0.8397392	0.81565773	0.81057084	0.8748547	0.7761406	0.86897564	0.86822414	0.76869065	0.8580642	0.9532393	0.7101517	0.8186997	0.77816486	0.95257986
alleen/adj	0.73587835	0.8473151	0.7457354	0.0	0.7469146	0.80778676	0.84236354	0.76727426	0.88202995	0.7452204	0.72146034	0.81176805	0.82245797	0.8099621	0.86913	0.6770441	0.8046297	0.89088327	0.89722455	0.8355668	0.8629478	0.8010409	0.8249739	0.6547468	0.82276833	0.87490803	0.8441732	0.868833	0.8786706	0.8112027	0.7413303	0.6615915	0.89314455	0.6931907	0.8015373	0.81737196	0.8564793	0.85200214	0.8629806	0.9031215	0.8477831	0.73227245	0.6596972	0.75497663	0.61545116	0.7349599	0.8771845	0.8111227	0.7562196	0.87975466	0.79893637	0.84125894	0.8613099	0.9065849	0.8290098	0.4088133	0.7148776	0.7848102	0.87150884	0.89450943	0.8584651	0.8451453	0.8263649	0.8938604	0.9078351	0.82163006	0.8251618	0.83633673	0.794215	0.85725623	0.8727213	0.82103187	0.83671975	0.7760538	0.7687926	0.8890839	0.6893127	0.82206553	0.8355438	0.7519044	0.83208346	0.852677	0.6751781	0.84722626	0.82022196	0.7716225	0.81858087	0.84533006	0.805591	0.798629	0.8546988	0.8449621	0.8613061	0.82779706	0.8087009	0.79268897	0.85955215	0.83582157	0.8612751	0.819397	0.7985533	0.77515864	0.915787	0.8178183	0.8290413	0.8021561	0.89963335
algemeen/adj	0.7258477	0.92462957	0.74091023	0.7469146	0.0	0.89545405	0.8779321	0.80373365	0.86859983	0.92022395	0.82474613	0.8186738	0.86704516	0.90350044	0.8827928	0.87325686	0.8885503	0.93416137	0.91736096	0.908737	0.9086707	0.8562339	0.8292807	0.7022322	0.8543224	0.9319971	0.8341549	0.8807707	0.9076185	0.87586534	0.7643192	0.83527195	0.9036398	0.7897719	0.87820554	0.8428308	0.9316941	0.87204736	0.8491826	0.9526266	0.94148344	0.8487755	0.9097103	0.7682621	0.8786782	0.8352623	0.9095001	0.87177706	0.69937074	0.92718244	0.78819484	0.88951397	0.9232478	0.89744365	0.86580044	0.7414337	0.6842775	0.75705314	0.9396126	0.9729279	0.90768176	0.899789	0.82471764	0.9076893	0.9402275	0.9198461	0.8777573	0.9084151	0.8041241	0.9087016	0.9083449	0.77672684	0.7963188	0.8044907	0.8634482	0.87729955	0.9147032	0.879743	0.8732147	0.81965804	0.81273466	0.8905829	0.7106528	0.7743541	0.89272594	0.82703435	0.85800016	0.757902	0.85464627	0.7469251	0.8821517	0.8273802	0.9269386	0.8955258	0.80759335	0.77782005	0.85199183	0.76663774	0.8567122	0.80431503	0.7958212	0.72905856	0.95421946	0.82567227	0.8741169	0.84650993	0.95355517
biljet/noun	0.87467575	0.8927818	0.8663034	0.80778676	0.89545405	0.0	0.85519224	0.91082144	0.9170007	0.85688823	0.78436697	0.8736703	0.7851134	0.74908173	0.86018497	0.87453675	0.7927779	0.891107	0.74297225	0.7344367	0.71594125	0.6654647	0.86321115	0.77715963	0.7876537	0.8007384	0.8888073	0.91758925	0.8854003	0.9124166	0.87379384	0.79368234	0.72768223	0.7868337	0.8639562	0.8495351	0.67321897	0.8552929	0.88613373	0.8331002	0.66125643	0.8881843	0.75516874	0.8620525	0.857203	0.8559031	0.7783337	0.70040166	0.86642444	0.86307967	0.8058892	0.7068664	0.71206754	0.902681	0.75822645	0.782372	0.8778967	0.8768406	0.7432848	0.80046624	0.9012505	0.65510607	0.88683355	0.7858763	0.9008745	0.636253	0.8848989	0.6499201	0.88858706	0.7514781	0.90170646	0.8862382	0.8973265	0.79755265	0.8725377	0.8689776	0.81657445	0.81583095	0.90279454	0.8614164	0.8364357	0.87100875	0.85757524	0.88317084	0.83128977	0.8817892	0.8163341	0.8740611	0.8535567	0.89572626	0.82623464	0.88074476	0.91426855	0.75747174	0.8896629	0.85435104	0.90682644	0.889809	0.8681521	0.82871056	0.8500581	0.81828046	0.8954666	0.86180687	0.86800444	0.85158527	0.89207375
stem/noun	0.9150104	0.93478346	0.89397764	0.84236354	0.8779321	0.85519224	0.0	0.89417744	0.94767207	0.8965827	0.8847506	0.89651275	0.9229593	0.9012424	0.9321838	0.81265205	0.8872924	0.9579352	0.9501142	0.91561884	0.82499224	0.88316613	0.9133251	0.8265648	0.8780991	0.94190794	0.8979312	0.81918675	0.9414955	0.8436712	0.78666824	0.8085403	0.932776	0.7444124	0.87396634	0.887198	0.9092425	0.94680005	0.8087321	0.9591317	0.91470057	0.86912036	0.80562747	0.90709215	0.8888442	0.80474734	0.9279321	0.89790744	0.8839728	0.93451834	0.9046028	0.8934391	0.9301619	0.92080593	0.91095334	0.843634	0.81204385	0.87728703	0.9234907	0.9423001	0.9105275	0.76744974	0.8812182	0.92325747	0.87623936	0.889845	0.8716123	0.9105599	0.86939055	0.93739253	0.88408226	0.87560123	0.7873275	0.93340456	0.8816416	0.9285208	0.8740177	0.9171354	0.91739637	0.89175737	0.8821775	0.9050311	0.8627198	0.8702046	0.7793344	0.85847616	0.8985536	0.7835255	0.8745414	0.83332825	0.9183247	0.89994353	0.92290175	0.9136749	0.85313404	0.80073506	0.84159476	0.8384006	0.8900205	0.870402	0.92657447	0.87986684	0.87960625	0.9224875	0.91050214	0.8803637	0.86249626
dit/det	0.76230055	0.9243418	0.8206477	0.76727426	0.80373365	0.91082144	0.89417744	0.0	0.8832668	0.78753185	0.84139764	0.85021335	0.87122357	0.9119645	0.9003628	0.8295983	0.8591326	0.93533295	0.89016426	0.9315682	0.8907361	0.83665836	0.8050236	0.7458544	0.867646	0.91218305	0.79346496	0.8504243	0.90874314	0.8289284	0.8040316	0.79074365	0.85232437	0.8843992	0.8551436	0.8730867	0.91587365	0.8560861	0.8147105	0.9637937	0.91620296	0.78314066	0.8443393	0.849502	0.7701963	0.7818128	0.94359905	0.870119	0.81192625	0.91728693	0.8337544	0.89063853	0.8918879	0.72677326	0.89993674	0.78146875	0.7607272	0.84270906	0.8988491	0.96108836	0.89318496	0.8817525	0.87151915	0.91955036	0.883374	0.8830337	0.8507067	0.92186177	0.8280072	0.9200991	0.8802532	0.7752835	0.83307076	0.8704345	0.8632504	0.8616973	0.8420104	0.8968819	0.85637957	0.7280017	0.82227945	0.8384563	0.80218536	0.826044	0.8265481	0.8296322	0.86849856	0.8000792	0.85167587	0.7902369	0.8328702	0.81627744	0.89519536	0.8914719	0.74344754	0.83500075	0.8637792	0.82044315	0.83793294	0.8927785	0.82351035	0.7854621	0.90676033	0.81307864	0.8895458	0.82170326	0.870048
rechtbank/noun	0.67132807	0.87291753	0.84587336	0.88202995	0.86859983	0.9170007	0.94767207	0.8832668	0.0	0.9273008	0.8893833	0.82108957	0.7893932	0.9152538	0.8674798	0.9465032	0.91956246	0.9725462	0.8835226	0.88385093	0.8934352	0.8086501	0.85410196	0.85581386	0.8469957	0.91457886	0.47594857	0.91432744	0.8784166	0.92835736	0.76250356	0.9074733	0.9048206	0.8996588	0.94761074	0.6405134	0.954337	0.8815668	0.884711	0.9281814	0.9282702	0.91604716	0.8669661	0.80474734	0.87928385	0.87394786	0.84248805	0.9262766	0.72938454	0.87354904	0.88686234	0.9182683	0.9466381	0.8682505	0.9452976	0.7928226	0.87440103	0.81774294	0.94836617	0.9403644	0.87670434	0.8804776	0.87826234	0.95053613	0.924767	0.9363913	0.8505498	0.854568	0.9097014	0.92422175	0.7733411	0.74080324	0.841148	0.85103667	0.93239444	0.79987955	0.9424644	0.81701165	0.86455554	0.77424777	0.77364665	0.69354403	0.8255798	0.792063	0.9685587	0.8779581	0.884717	0.83220536	0.84319466	0.8361411	0.62605566	0.8954229	0.9486697	0.8434416	0.8555329	0.8438169	0.83825004	0.7922548	0.8415919	0.9185393	0.7911279	0.946477	0.9389315	0.8461728	0.8214964	0.8607189	0.95087254
nog/adv	0.8343183	0.87187433	0.8986252	0.7452204	0.92022395	0.85688823	0.8965827	0.78753185	0.9273008	0.0	0.85464716	0.8865024	0.8918104	0.88402355	0.89365506	0.6427903	0.8372305	0.94086325	0.91951483	0.92932564	0.8817873	0.8591491	0.86489815	0.77415335	0.8696009	0.9025062	0.8758617	0.8619067	0.9081119	0.88948727	0.8776601	0.6880045	0.9110392	0.87034607	0.8668132	0.89493906	0.88640875	0.8646917	0.8446965	0.89965624	0.8941002	0.841755	0.7290368	0.88025624	0.68497896	0.8937646	0.909457	0.8787663	0.9072707	0.88848925	0.89480436	0.89711106	0.9079766	0.800392	0.9252369	0.7520247	0.89766103	0.90056044	0.9330309	0.9067828	0.89529926	0.86158323	0.87377733	0.9396861	0.81976545	0.8375857	0.8843536	0.89379334	0.84652567	0.9034991	0.8858872	0.8667738	0.87041414	0.8882405	0.8310335	0.8711621	0.7727845	0.8597435	0.8989172	0.8191129	0.8752416	0.89188164	0.8538193	0.8642056	0.88100755	0.8424545	0.8706085	0.8974601	0.89445424	0.893522	0.88212276	0.9110982	0.7271633	0.88885856	0.8157986	0.8550806	0.88669354	0.8788205	0.86252093	0.8829297	0.89951897	0.8923829	0.81876403	0.85188293	0.9234619	0.88496774	0.80254734
