	KLM/name	been/noun	immers/adv	langzaam/adj	alsof/comp	mag/verb	inmiddels/adv	zoals/comp	dan/adv	per/prep	Litmanen/name	hoofd/noun	regering/noun	hoog/adj	in/verb	vorder_terug/verb	accijns/noun	loon_belasting/noun	belasting_dienst/noun	teatraal/adj	nergens/adv	verzekeraar/noun	hand/noun	ministerie/noun	ook/adv	Lanaken/name	sanctie/noun	te/prep	tegelijk/adj	handpalm/noun	om/comp	belasting/noun	louter/adj	Camiel/name	premie/noun	frank/noun	heffing/noun	echter/adv	boete/noun	stad/noun	die/det	zij/pron	nu/adv	arm/adj	Informatie/name	glas/noun	hierover/pp	land/noun	daarna/adv	voortaan/adv	en/vg	entree/noun	vinger_DIM/noun	sinds/prep	LPF_minister/noun	hulpeloos/adj	maandag_avond/noun	feestganger/noun	anno/prep	ze/pron	Canada/name	toegang/noun	alvast/adv	rente/noun	voorheffing/noun	bovendien/adv	Henk/name	heer/noun	als/comp	opcentiemen/noun	omdat/comp	tarief/noun	toch/adv	zondag_middag/noun	energie/prefix	het/det	vertwijfeld/adj	Francis/name	lach/adj	netjes/adj	instantie/noun	men/pron	lidstaat/noun	procent/noun	Griek/noun	onroerend_zaak_belasting/noun	verontschuldig/adj	op/prep	beeld_DIM/noun	vinger/noun	ter/prep	boven/prep	over/prep	provincie/noun	terwijl/comp	glas_DIM/noun	dankbaar/adj	inkomst_belasting/noun	toeslag/noun	statie_geld/noun	opslag/noun	meer/adj	staat/noun	toegang_prijs/noun	arm/noun	hij/pron	bovenop/prep	successie_recht/noun	hak/noun	invoer_recht/noun	even/adj	keer/noun	overheid/noun	wanneer/comp	triomfantelijk/adj	tol/noun	fiscus/noun	laag/adj	percentage/noun	administratie/noun	aanvankelijk/adj	taksen/noun	vanaf/prep	hoopvol/adj	zonder/comp	gemeente/noun	eventueel/adj	toelage/noun	dwingend/adj	college_geld/noun	milieu_belasting/noun	taks/noun	of/vg
Camiel/name	0.9650675	0.9400472	0.9946789	0.9775973	0.8897269	0.97740996	0.92260486	0.9111582	0.9949067	0.98620766	0.99244165	0.9548102	0.973403	0.9509724	0.963201	0.9734276	0.96327984	0.97594327	0.9506197	0.9446114	0.9899667	0.99117446	0.8731299	0.96373475	0.920964	0.977293	0.90315145	0.99033797	0.8046085	0.78726214	0.9429976	0.9774665	0.96136373	0.0	0.98947597	0.93372416	0.9648078	0.96228224	0.876893	0.9926844	0.9727819	0.92194265	0.9992887	0.9930594	0.951587	0.94925517	0.98864406	0.8778637	0.95853806	0.9675238	0.7668048	0.9970122	0.91784394	0.9315587	0.98578966	0.96422464	0.9784026	0.9550147	1.0	0.9175654	0.42275423	0.9919448	0.9598066	0.9785721	0.98796964	0.9693401	0.98691034	0.64977616	0.9413166	0.99763274	0.9078619	0.9924824	0.9963762	0.98172015	0.98610735	0.96918494	0.8700492	0.96408147	0.91753316	0.94938534	0.95199573	0.9440134	0.9559263	0.99580586	0.99646616	0.98248965	0.97899985	0.9388882	0.9524312	0.692549	0.80131686	0.9457584	0.9944912	0.971576	0.906861	0.96315044	0.945918	0.96545297	0.9750074	0.9764187	0.9942543	0.99095047	0.95009255	0.99986047	0.92514217	0.92175114	0.9703882	0.983041	0.97380656	0.90757143	0.9324001	1.0	0.9499966	0.80011344	0.93084514	0.9952605	0.97048336	0.98615736	0.99297345	0.9866947	0.9940888	0.98099595	0.9880138	0.9404284	0.9389658	0.9848392	0.9624724	0.9954745	0.93691075	0.9949569	0.9818087	0.96584165	0.90187734
premie/noun	0.77004004	0.9542041	0.51192117	0.9070859	0.8685636	0.68144923	0.7678501	0.8182875	0.74092305	0.4728229	0.95617336	0.87820023	0.767384	0.5559901	0.45493686	0.41446245	0.5549219	0.36035788	0.3306589	0.9524745	0.82303464	0.34029394	0.9470247	0.66928715	0.8549675	0.84711134	0.7976752	0.84527683	0.79746723	0.9767497	0.7319517	0.33663785	0.89616525	0.98947597	0.0	0.59523964	0.37327403	0.7768193	0.4255852	0.7256925	0.5716524	0.61068743	0.84232056	0.88360333	0.9738833	0.8979009	0.46853322	0.8297918	0.87852144	0.34931874	0.67631626	0.77704024	0.90652937	0.7726982	0.9515085	0.92433435	0.931743	0.9013658	0.9264494	0.92343163	0.8610686	0.8267044	0.7226432	0.2555871	0.41423696	0.4146222	0.99809223	0.8947216	0.7720952	0.5708928	0.5715099	0.34925318	0.9485223	0.97268254	0.79849404	0.8852	0.9111176	0.8441858	0.9427155	0.63900423	0.5666263	0.86787236	0.7819169	0.3333218	0.96666706	0.3761775	0.98488575	0.7082195	0.94522846	0.9435855	0.8912399	0.6564338	0.549421	0.7095823	0.6964895	0.9133605	0.95580405	0.2965337	0.2577762	0.716439	0.603146	0.7349787	0.4908436	0.7120925	0.9583058	0.95392877	0.5037451	0.4328559	0.8151644	0.5169425	0.95205754	0.81710887	0.4691484	0.6543435	0.9344033	0.63757026	0.3096221	0.4315483	0.39108473	0.4567461	0.82817996	0.5695079	0.5244322	0.96531713	0.6811177	0.55354327	0.5139383	0.47897297	0.8729098	0.6404866	0.49067408	0.542886	0.6619278
frank/noun	0.8207804	0.98304605	0.52838576	0.82924604	0.92994994	0.75914365	0.9134127	0.70932317	0.804426	0.34020787	0.939701	0.902701	0.5581799	0.48872435	0.38710237	0.6544065	0.45742774	0.62429726	0.66806734	0.9285397	0.835078	0.7369471	0.9708561	0.8260953	0.7826314	0.86235267	0.80295646	0.85916585	0.87776875	0.9418589	0.5528443	0.41496623	0.84708905	0.93372416	0.59523964	0.0	0.4267913	0.85412	0.456182	0.53018403	0.58218837	0.7992119	0.8249378	0.8752661	0.92737234	0.7370687	0.7525934	0.780307	0.9274916	0.40796787	0.694437	0.7657196	0.96762216	0.90401447	1.0	0.9552235	0.8761048	0.84446436	0.92529565	0.96080714	0.8893234	0.5977428	0.90970755	0.6842897	0.5665227	0.47161114	0.95464015	0.99490404	0.7703639	0.5843909	0.5877091	0.5250945	0.9433715	0.9202687	0.67066157	0.9078083	0.96560925	0.91894287	0.8930266	0.6975591	0.8283261	0.8147894	0.67389286	0.5415533	0.97436404	0.81976163	0.987425	0.5782996	0.7966628	0.97536325	0.6567981	0.7317703	0.8485859	0.59127295	0.84348744	0.7818655	0.98372614	0.65886414	0.6375475	0.63072276	0.6856286	0.5849441	0.72675097	0.5725728	0.97825485	0.9789352	0.2653725	0.6614863	0.9525725	0.56911135	0.987673	0.7412412	0.4894806	0.7955202	0.90978885	0.75314415	0.66624105	0.4800595	0.7115331	0.73368025	0.8636287	0.5056691	0.44644284	0.99120533	0.5925733	0.5053905	0.5218904	0.5348029	0.961009	0.7827735	0.5646442	0.47764134	0.50980085
heffing/noun	0.77425694	0.9690336	0.30834502	0.8740828	0.8613581	0.58986735	0.78727436	0.5443703	0.6598766	0.41176522	0.9522867	0.93213505	0.39607304	0.3323735	0.15947527	0.4810326	0.29430056	0.4181851	0.49313015	0.9543052	0.7196506	0.6166057	0.97416186	0.7826467	0.74899685	0.7938312	0.7510378	0.8411542	0.72118545	0.9833281	0.39635342	0.1528889	0.79572386	0.9648078	0.37327403	0.4267913	0.0	0.6795378	0.38495618	0.6566273	0.53154075	0.626214	0.80094147	0.85322523	0.9291419	0.8236715	0.43813086	0.6910403	0.9388239	0.24143118	0.5227647	0.83472806	0.9377792	0.8196769	0.9627525	0.959215	0.91208607	0.95076394	0.9436851	0.95135754	0.73387647	0.7316958	0.73462856	0.4196806	0.31870192	0.34271532	0.9904898	0.9360512	0.64906645	0.39776278	0.44191176	0.19730216	0.91280925	0.9433492	0.6309917	0.83662117	0.93457514	0.91558224	0.96989125	0.63003457	0.66596645	0.73952377	0.5301253	0.34411496	0.94943905	0.42847735	0.9937983	0.41939425	0.9677398	0.94500685	0.6647854	0.67030466	0.5208057	0.64723843	0.7022809	0.94700396	0.9519535	0.23942578	0.518897	0.61542314	0.6280789	0.6356522	0.5528591	0.84742093	0.9909927	0.9629703	0.3318916	0.36286968	0.87283087	0.35001034	0.98244864	0.77074516	0.3585168	0.62628865	0.941109	0.5097042	0.4049927	0.28337383	0.413593	0.53382134	0.7706622	0.40127146	0.3964888	0.95873684	0.4481172	0.4176138	0.35368335	0.7283858	0.9069692	0.6786624	0.38177842	0.43856263	0.52023304
echter/adv	0.7814107	0.91925263	0.55830187	0.68427455	0.76146954	0.7091848	0.645812	0.6800864	0.6928118	0.7890751	0.8322578	0.9260347	0.71445227	0.74932194	0.68205035	0.7611532	0.6821772	0.6617662	0.7635083	0.7902565	0.6482575	0.7713941	0.8784672	0.8316818	0.64228386	0.8936771	0.6960201	0.76479805	0.6698251	0.9351504	0.7120132	0.6770693	0.7560624	0.96228224	0.7768193	0.85412	0.6795378	0.0	0.7765486	0.902264	0.7028208	0.71548057	0.63142484	0.90896916	0.8470476	0.9017701	0.68119407	0.82298446	0.8985732	0.6781281	0.804814	0.8754471	0.7815139	0.8344745	0.9553212	0.9183022	0.94072795	0.7848834	0.921001	0.8114424	0.9147431	0.9292726	0.6883776	0.7114353	0.7885045	0.53708065	0.9632689	0.9069871	0.6071749	0.8028596	0.51432145	0.7318028	0.6307334	0.84533536	0.8144727	0.8451904	0.737455	0.9529106	0.7897789	0.88454336	0.6619707	0.58546543	0.6331067	0.79187447	0.7995215	0.82761043	0.93174607	0.83573914	0.956734	0.86570114	0.8890082	0.84958243	0.7687242	0.836494	0.7550593	0.93484926	0.7842843	0.70425034	0.8057794	0.8134924	0.8107861	0.7277805	0.8942329	0.88721657	0.91536015	0.8523982	0.76705724	0.6550416	0.816644	0.7255677	0.7976673	0.88084155	0.6657515	0.60244983	0.867756	0.62910414	0.76918	0.75448006	0.773339	0.7422781	0.6145208	0.673903	0.8051611	0.76362675	0.7760099	0.8216455	0.7366872	0.88670915	0.54984266	0.81234396	0.762136	0.7877515	0.7369671
boete/noun	0.79565775	0.963706	0.4806741	0.94067985	0.8746934	0.68569744	0.8261881	0.6965802	0.69734657	0.5724683	0.9336457	0.9219754	0.5421506	0.6235744	0.39467698	0.47727317	0.33601475	0.6126856	0.5489844	0.9551166	0.8813533	0.6515746	0.9687159	0.76611406	0.81847525	0.83429337	0.60721326	0.903082	0.8174739	0.95311236	0.5977188	0.3382553	0.83203393	0.876893	0.4255852	0.456182	0.38495618	0.7765486	0.0	0.7522053	0.54102963	0.7544292	0.8580307	0.9401576	0.9146433	0.8725846	0.62295234	0.6929722	0.8323797	0.4760651	0.6989766	0.78084767	0.8871409	0.8575485	0.92652965	0.97349536	0.94929594	0.94881123	0.94226956	0.8875192	0.7356658	0.57786345	0.8311353	0.4872331	0.55384135	0.5410768	0.98537934	0.8721833	0.71778464	0.62971616	0.4934131	0.48648155	0.93795276	0.94316226	0.82367635	0.9133628	0.93516237	0.80750555	0.9132536	0.7246175	0.6152768	0.8114722	0.55412716	0.6002734	0.9714124	0.73812467	0.99008757	0.61955345	0.9148728	0.9191322	0.63529265	0.8023115	0.6809612	0.79078454	0.8486936	0.9052101	0.9354068	0.48426384	0.49639684	0.59779394	0.70749724	0.65842247	0.62102103	0.6157781	0.9737755	0.91609424	0.52438825	0.49597186	0.796654	0.34499335	0.9828615	0.8301578	0.48049664	0.779493	0.9401489	0.49900472	0.44718885	0.5969107	0.6345637	0.5747489	0.8463318	0.3951252	0.53934586	0.9680264	0.5802531	0.61688966	0.40666157	0.597488	0.93948877	0.6357012	0.4860353	0.33765012	0.5545423
stad/noun	0.94083315	0.903335	0.70896906	0.8853522	0.92239076	0.83809566	0.9144448	0.8099723	0.8906562	0.64561224	0.968204	0.84729975	0.6771536	0.71153796	0.6124583	0.6786696	0.6983827	0.7922936	0.7841381	0.8705191	0.77892375	0.813311	0.92559755	0.71822894	0.8533493	0.87293833	0.89783525	0.77331305	0.8995406	0.9482216	0.71157116	0.54528433	0.95046	0.9926844	0.7256925	0.53018403	0.6566273	0.902264	0.7522053	0.0	0.56236583	0.8775441	0.8492736	0.7116155	0.93208563	0.8958248	0.9211852	0.7102841	0.9234056	0.5452912	0.77024555	0.8684155	0.9459052	0.8659656	0.97214353	0.90009785	0.89411783	0.9105599	0.9239079	0.9421327	0.9098941	0.87688303	0.8636712	0.8518915	0.61293936	0.6068771	0.98163676	0.98149854	0.83865094	0.5888387	0.71394575	0.7418327	0.93327993	0.98024994	0.8584113	0.8953653	0.95421845	0.86756444	0.8764943	0.756701	0.6997254	0.82967454	0.7830859	0.65332174	0.9749466	0.884905	0.9459568	0.6997267	0.9657755	0.97706294	0.9455855	0.8016403	0.96324927	0.21686822	0.8325511	0.9688321	0.98374504	0.81350964	0.8038415	0.7981526	0.9027892	0.6797751	0.69079274	0.9759335	0.8952028	0.98552984	0.63178635	0.82762146	0.9599403	0.84432316	0.98596007	0.9856232	0.50197124	0.888656	0.88059723	0.8130346	0.8524741	0.7605231	0.69945455	0.7704987	0.8558208	0.64820814	0.78796464	0.995119	0.84042	0.2607451	0.7236035	0.46543163	0.86809707	0.81542337	0.6363021	0.7029527	0.75170165
die/det	0.7780247	0.8580524	0.53075635	0.80478567	0.8560514	0.6609816	0.949358	0.6500319	0.6055023	0.624931	0.8665967	0.89402723	0.5893247	0.6418816	0.49892658	0.6915649	0.54219586	0.6054132	0.5761112	0.82618064	0.7616559	0.69836724	0.90633583	0.8696317	0.6722792	0.8627973	0.68134856	0.7935582	0.7062857	0.92811006	0.5786175	0.47425818	0.75096434	0.9727819	0.5716524	0.58218837	0.53154075	0.7028208	0.54102963	0.56236583	0.0	0.5027939	0.72062814	0.7950909	0.9546057	0.85197854	0.7824469	0.6270858	0.85224444	0.5329333	0.79211414	0.79304355	0.83853155	0.8903245	0.8555298	0.8156192	0.92266685	0.9535132	0.83552307	0.6275723	0.8841099	0.89753956	0.81657577	0.6737518	0.60315216	0.48464698	0.9643616	0.8550254	0.6063955	0.64734995	0.5078615	0.6613436	0.70344305	0.9216886	0.8671157	0.8688818	0.90586054	0.89878947	0.8074237	0.6657777	0.65341	0.5133124	0.6822677	0.5747075	0.81671023	0.7672825	0.85914534	0.60402143	0.91146153	0.89335144	0.86526954	0.80080974	0.8242779	0.63742197	0.7587429	0.85838443	0.75391126	0.62934893	0.5763352	0.57262075	0.76513183	0.63392913	0.63534164	0.9128167	0.8528109	0.7188716	0.43964434	0.6036873	0.88424677	0.6810179	0.7204585	0.9198201	0.49940115	0.70425045	0.8327117	0.59094465	0.6158585	0.647128	0.6513072	0.7457719	0.70896554	0.64702547	0.6084574	0.85140777	0.7445245	0.5017819	0.51611006	0.7027925	0.82241106	0.6934582	0.66871524	0.48220003	0.65614223
zij/pron	0.76760006	0.76981175	0.70491546	0.7632538	0.7763117	0.5987998	0.83680093	0.73650575	0.627756	0.71255755	0.88629395	0.7880838	0.7237976	0.71693784	0.6731375	0.7106253	0.77706367	0.6261005	0.5655328	0.8790942	0.7463973	0.6170633	0.7914895	0.8452568	0.62031376	0.94215757	0.7344627	0.8325049	0.6950954	0.8784186	0.668067	0.6458598	0.6638905	0.92194265	0.61068743	0.7992119	0.626214	0.71548057	0.7544292	0.8775441	0.5027939	0.0	0.78623295	0.774412	0.9136543	0.8746263	0.6391132	0.8355962	0.90368396	0.6364826	0.7558964	0.93338686	0.8801321	0.9458698	0.78335804	0.617422	0.9315471	0.90413165	0.8135155	0.39041132	0.912382	0.8368814	0.74535656	0.6448	0.6842253	0.60726094	0.86731577	0.7844722	0.67443043	0.7928995	0.65399754	0.6760864	0.74215186	0.9548785	0.9696043	0.8374023	0.77329326	0.9557531	0.82095635	0.69329345	0.7254381	0.37872982	0.73721516	0.71163416	0.8339603	0.7050383	0.7526326	0.83777016	0.92900723	0.74330187	0.87296915	0.7820934	0.66003287	0.88964826	0.66741794	0.84168935	0.66993666	0.6109801	0.6708171	0.897422	0.80094457	0.71720135	0.69110703	0.95611936	0.7533783	0.43330443	0.690836	0.6907612	0.91540146	0.7530601	0.62380886	0.8800353	0.6378553	0.62905276	0.82562613	0.847573	0.5626308	0.64836335	0.72693837	0.7306912	0.74871105	0.8312471	0.69556487	0.72825444	0.72436345	0.76865727	0.68972826	0.831214	0.8563001	0.7362695	0.77448285	0.82307273	0.6969727
nu/adv	0.80321753	0.8714372	0.64916855	0.66429424	0.66109514	0.64354086	0.7666882	0.82256806	0.46391773	0.83163476	0.92110574	0.87382054	0.8434216	0.80591524	0.7515809	0.8313726	0.806973	0.7857821	0.7221006	0.82760626	0.70825493	0.76005006	0.8984344	0.8847622	0.6900102	0.90258217	0.7908123	0.91566926	0.82596135	0.8043964	0.7703116	0.75050306	0.86497426	0.9992887	0.84232056	0.8249378	0.80094147	0.63142484	0.8580307	0.8492736	0.72062814	0.78623295	0.0	0.90019286	0.99648446	0.9177618	0.81151193	0.91431224	0.7411822	0.7473773	0.9063768	0.8591796	0.7464995	0.90172553	0.80827785	0.83059764	0.88232297	0.8600426	0.6749329	0.7575937	0.95094556	0.89775515	0.7994064	0.777973	0.7960281	0.69229335	0.93833536	0.7667665	0.48105448	0.8738859	0.69727486	0.80182344	0.6304182	0.85832375	0.87523615	0.77354693	0.7927333	0.9065796	0.6896979	0.72147644	0.80032635	0.58011675	0.77243006	0.83782285	0.7723267	0.88340604	0.8787913	0.92541677	0.8711811	0.85537255	0.93311274	0.88294864	0.8603498	0.9192535	0.72727174	0.8245617	0.80449283	0.842383	0.8389274	0.9245593	0.8901217	0.79765886	0.8254025	0.9068626	0.8898947	0.8204742	0.82662445	0.8383003	0.8882348	0.88557494	0.7656636	0.8805193	0.74775666	0.5447105	0.90212196	0.7548647	0.7880485	0.80919063	0.85143626	0.85431314	0.76072454	0.6737942	0.82905746	0.85223424	0.7885368	0.88277644	0.7808398	0.8362772	0.8107497	0.8485621	0.88203084	0.8905492	0.79337704
arm/adj	0.98529595	0.40631878	0.8520322	0.723562	0.5912433	0.865446	0.85261345	0.789967	0.87801445	0.8075882	0.931937	0.61027515	0.82564694	0.8460685	0.860952	0.8702609	0.889218	0.9444481	0.88968307	0.61727726	0.7759274	0.9354393	0.49437982	0.9367858	0.91082174	0.9310449	0.8052071	0.34803182	0.7223027	0.7239412	0.77902263	0.8722231	0.8446325	0.9930594	0.88360333	0.8752661	0.85322523	0.90896916	0.9401576	0.7116155	0.7950909	0.774412	0.90019286	0.0	0.95597583	0.73346484	0.9037871	0.5477956	0.76338035	0.81708425	0.70909303	0.75168055	0.80231714	0.8729589	0.9774061	0.4766643	0.88378716	0.87571794	0.79340464	0.67886865	0.84664285	0.72514796	0.91238666	0.89994764	0.89611423	0.82695335	0.8311523	0.85975206	0.83083886	0.8872359	0.8119194	0.8937006	0.93169975	0.88269687	0.87884986	0.7107758	0.6433146	0.98020035	0.72775745	0.8336369	0.7804115	0.8856683	0.766008	0.89274013	0.73673236	0.9102267	0.5074051	0.82788485	0.9117425	0.616727	0.8069668	0.7081076	0.82825875	0.73416984	0.48029023	0.9439688	0.9025655	0.9063015	0.8934583	0.82769454	0.7402041	0.8756935	0.8048595	0.9174745	0.3136564	0.6452725	0.8394439	0.8994621	0.915979	0.862829	0.6619972	0.9584905	0.85805184	0.7634814	0.58848214	0.9449356	0.9345577	0.822046	0.7752251	0.8911486	0.81310534	0.8835756	0.89483273	0.8127901	0.8405108	0.8335169	0.90829444	0.8282063	0.75380206	0.81152445	0.92408776	0.846715	0.7128588
Informatie/name	0.9434116	0.941606	0.9396668	0.9547193	0.96982414	0.9065701	0.85645115	0.9378614	0.990079	0.9261902	0.8738319	0.8780705	0.81404024	0.94967186	0.9257062	0.78715324	0.8529457	0.84988916	0.79979765	0.82102257	0.90262127	0.82664865	0.9563501	0.77841526	0.9301168	0.997232	0.8656083	0.9770952	0.9689745	0.9541063	0.88229394	0.92366076	0.91976917	0.951587	0.9738833	0.92737234	0.9291419	0.8470476	0.9146433	0.93208563	0.9546057	0.9136543	0.99648446	0.95597583	0.0	0.8735005	0.8095299	0.8919046	0.98658234	0.886971	0.93660724	0.8246105	0.9582821	0.7947406	0.9671173	0.97027993	0.8713161	0.99751616	0.9147683	0.9812905	0.9688623	0.8738717	0.9385306	0.9615885	0.96199495	0.94056547	0.933497	0.9829108	0.92514336	0.97995335	0.90391505	0.9713005	0.9954203	0.975309	0.9838957	0.5832763	0.9487777	0.7987602	0.898507	0.9209106	0.76290256	0.9200184	0.81153846	0.99952143	0.9972087	0.9752121	0.9511134	0.94440204	0.982406	0.95976996	0.9753949	0.8844098	0.9429842	0.78336716	0.9605986	0.99196947	0.99881685	0.88958246	0.8729006	0.9698924	0.9440365	0.9116928	0.97348005	0.9754783	0.9461798	0.9764975	0.9231903	0.9526556	0.9637072	0.93505263	0.98413646	0.9966882	0.90343773	0.95146304	0.7999385	0.9530336	0.8730012	0.9950714	0.9739688	0.68808544	0.85872537	0.97484154	0.8815231	0.97047603	0.94376975	0.85484576	0.889019	0.87024873	0.9498848	0.95847684	0.9769721	0.96938473	0.9598314
glas/noun	0.92471135	0.72679174	0.9349837	0.71534425	0.6770781	0.84354067	0.9001559	0.78080124	0.8051873	0.5877474	0.86950237	0.6100712	0.8739206	0.90814376	0.8313554	0.94463754	0.9206294	0.92373264	0.95799387	0.7849348	0.8425107	0.93682516	0.43845206	0.9777536	0.92281276	0.9958415	0.9689684	0.7459409	0.8192154	0.70055395	0.7768198	0.90932626	0.84655136	0.94925517	0.8979009	0.7370687	0.8236715	0.9017701	0.8725846	0.8958248	0.85197854	0.8746263	0.9177618	0.73346484	0.8735005	0.0	0.97991544	0.93874973	0.59377277	0.8234401	0.7694007	0.6296563	0.6570593	0.86577404	0.9618035	0.7756965	0.8655789	0.6730435	0.8445853	0.65876764	0.9446489	0.8583602	0.81305677	0.952607	0.93796915	0.91037494	0.78455746	0.80392253	0.8284678	0.9763214	0.8718601	0.92621493	0.87532616	0.78814054	0.7628133	0.7730206	0.8670586	0.9522388	0.65849006	0.7960439	0.86390495	0.9036294	0.9488442	0.8727858	0.8433802	0.9755873	0.7081735	0.72566104	0.6756817	0.4997213	0.5466274	0.61554384	0.9208647	0.9221197	0.5885996	0.48562253	0.8488827	0.95606977	0.8122082	0.61295074	0.77470577	0.8219892	0.9255313	0.7697649	0.5629425	0.6754383	0.72423196	0.9471383	0.9232004	0.9446045	0.6175712	0.78679174	0.9275164	0.7675908	0.52374095	0.9568797	0.9652946	0.8915418	0.8745024	0.9349991	0.79482967	0.9211018	0.7906962	0.7677302	0.80074805	0.91057426	0.8877737	0.9177064	0.8520023	0.9186001	0.9283031	0.69640523	0.50088835
hierover/pp	0.89907044	0.98383826	0.37724727	0.9195007	0.81413513	0.69403434	0.79594266	0.6993355	0.65933114	0.7293591	0.940202	0.9163354	0.6453222	0.6127179	0.4753645	0.5254687	0.49960268	0.7029598	0.35093117	0.9322374	0.7849858	0.61600244	0.9348314	0.66124725	0.7830621	0.8608618	0.74709594	0.8942562	0.78894216	0.97433597	0.61628526	0.48716986	0.7419137	0.98864406	0.46853322	0.7525934	0.43813086	0.68119407	0.62295234	0.9211852	0.7824469	0.6391132	0.81151193	0.9037871	0.8095299	0.97991544	0.0	0.8078304	0.95845664	0.4753858	0.6469612	0.9107988	0.8963636	0.90686774	0.9138678	0.96611065	0.9627686	0.957181	0.9771246	0.9607154	0.73736894	0.80341434	0.54307425	0.5311925	0.5133534	0.5684454	0.9868678	0.98247063	0.73750496	0.7043197	0.64129484	0.4298908	0.8853213	0.95332396	0.94861746	0.8750027	0.9490458	0.9195845	0.9712909	0.76347816	0.72017246	0.8498186	0.6823562	0.57555926	0.96903193	0.5181825	0.9686072	0.7477548	0.97092587	0.9118184	0.8257202	0.8084314	0.38038594	0.7886466	0.8145733	0.94163585	0.9463167	0.39505392	0.6314203	0.9059992	0.8461641	0.8067906	0.46830362	0.9273554	0.98839974	0.9626016	0.65047395	0.5590068	0.9384264	0.5325321	0.9537795	0.85688657	0.5959808	0.5389775	0.95220053	0.8219146	0.32721722	0.5327922	0.6861525	0.46435022	0.87345254	0.6386621	0.5770118	0.9296639	0.4612317	0.8364648	0.5564475	0.8101392	0.8669364	0.8731367	0.65071976	0.81733376	0.67356575
land/noun	0.91256356	0.72547436	0.6641242	0.8819806	0.89014053	0.8507402	0.86011	0.70328426	0.8548885	0.8434275	0.9746972	0.79594934	0.64060557	0.7039522	0.75821865	0.8337308	0.64780426	0.89566934	0.8601088	0.7373291	0.7505721	0.89196754	0.88441503	0.9248332	0.8759193	0.9627056	0.74110734	0.57684124	0.8611712	0.8528135	0.7153477	0.68502975	0.85744977	0.8778637	0.8297918	0.780307	0.6910403	0.82298446	0.6929722	0.7102841	0.6270858	0.8355962	0.91431224	0.5477956	0.8919046	0.93874973	0.8078304	0.0	0.95746076	0.7566086	0.7098349	0.930782	0.92984915	0.78582025	0.92195165	0.76495993	0.9724132	0.893246	0.85594857	0.88405216	0.6286767	0.6242451	0.9255254	0.7516502	0.8449642	0.7711585	0.9884845	0.951234	0.79806685	0.7868647	0.68970925	0.70774543	0.90706974	0.96964705	0.88963294	0.8886473	0.8991046	0.9837635	0.9157365	0.89026475	0.88244015	0.8432484	0.45722562	0.7082908	0.9664068	0.89112514	0.84292775	0.7648627	0.9327887	0.9686512	0.8183094	0.77556306	0.8433513	0.7237011	0.7640889	0.965993	0.9576176	0.70815074	0.86113364	0.7740689	0.8674828	0.82463574	0.6673089	0.86698747	0.7580036	0.93822736	0.73576933	0.7834331	0.93669856	0.6291325	0.9711502	0.89631647	0.72257906	0.89100796	0.8057348	0.7751224	0.8057873	0.70361817	0.6664126	0.83832383	0.89043874	0.75758564	0.7825459	0.949381	0.7371769	0.7891321	0.6509155	0.9131802	0.8096173	0.77457273	0.7685758	0.79302	0.67928475
daarna/adv	0.91395175	0.69437873	0.90309954	0.66909313	0.5745151	0.76808375	0.90186983	0.8827298	0.55324996	0.86909413	0.9136116	0.74843264	0.9206156	0.9711029	0.9667361	0.83574873	0.8867561	0.89047575	0.8855433	0.8777065	0.94560736	0.8585037	0.5785538	0.90761703	0.8632494	0.98350155	0.760721	0.8573083	0.86539793	0.83414805	0.7983345	0.88175595	0.9016501	0.95853806	0.87852144	0.9274916	0.9388239	0.8985732	0.8323797	0.9234056	0.85224444	0.90368396	0.7411822	0.76338035	0.98658234	0.59377277	0.95845664	0.95746076	0.0	0.8945937	0.70677376	0.858731	0.6403825	0.95853746	0.8137295	0.68476045	0.8648484	0.66499645	0.870585	0.6590282	0.9520712	0.98502105	0.78871346	0.87942255	0.9564162	0.86124665	0.9064453	0.7746425	0.64249146	0.98965913	0.8276502	0.9754698	0.71173275	0.78669584	0.9090967	0.8764029	0.7481005	0.87821215	0.72167856	0.6475592	0.82255644	0.81032574	0.9130176	0.9610941	0.6948682	0.9427742	0.6582413	0.8906807	0.78483	0.5985216	0.7923965	0.83959585	0.8160643	0.968619	0.4916196	0.5846286	0.6520921	0.9312071	0.90893656	0.90001667	0.8076515	0.9102237	0.85684234	0.7961736	0.5962682	0.7690133	0.85806495	0.953809	0.9443042	0.91372746	0.5212491	0.86502624	0.89114594	0.615459	0.78909	0.915591	0.88535094	0.9738764	0.9038755	0.887657	0.8666883	0.83463717	0.9359235	0.89375156	0.86257344	0.9126383	0.8106532	0.8733686	0.82284296	0.81547046	0.9204167	0.91166973	0.6116785
